동별,구분별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
화곡1동,외국인근로자,외국인주민 총괄(동별),,368,327,277,331,278,255,176
화곡1동,결혼이민자,외국인주민 총괄(동별),,184,235,231,257,264,259,269
화곡1동,유학생,외국인주민 총괄(동별),,14,21,19,16,13,19,29
화곡1동,외국국적동포,외국인주민 총괄(동별),,347,392,496,525,515,556,503
화곡1동,기타외국인,외국인주민 총괄(동별),,354,386,549,457,546,520,491
화곡1동,한국국적을 취득한 자,외국인주민 총괄(동별),,347,388,413,422,445,469,463
화곡1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,206,209,236,231,252,258,261
우장산동,합계,외국인주민 총괄(동별),,505,518,567,567,489,488,499
우장산동,외국인근로자,외국인주민 총괄(동별),,55,52,73,65,53,31,34
우장산동,결혼이민자,외국인주민 총괄(동별),,58,75,73,79,62,70,77
우장산동,유학생,외국인주민 총괄(동별),,***,6,8,7,5,6,8
우장산동,외국국적동포,외국인주민 총괄(동별),,125,121,146,105,87,120,100
우장산동,기타외국인,외국인주민 총괄(동별),,81,100,95,122,117,97,105
우장산동,한국국적을 취득한 자,외국인주민 총괄(동별),,67,73,75,81,63,64,64
우장산동,외국인주민 자녀(출생),외국인주민 총괄(동별),,118,91,97,108,102,100,111
구로구,합계,외국인주민 총괄(동별),,"47,123","48,279","49,996","54,089","54,937","54,878","52,433"
구로구,외국인근로자,외국인주민 총괄(동별),,"16,464","14,496","11,995","14,859","14,085","11,582","8,544"
구로구,결혼이민자,외국인주민 총괄(동별),,"2,404","3,175","3,046","3,062","3,224","2,732","2,631"
구로구,유학생,외국인주민 총괄(동별),,295,364,429,474,502,502,517
구로구,외국국적동포,외국인주민 총괄(동별),,"10,638","11,806","14,080","14,960","14,836","17,087","18,508"
구로구,기타외국인,외국인주민 총괄(동별),,"9,660","10,689","12,357","12,331","13,389","13,707","12,686"
구로구,한국국적을 취득한 자,외국인주민 총괄(동별),,"5,589","5,699","6,050","6,274","6,532","6,904","7,142"
구로구,외국인주민 자녀(출생),외국인주민 총괄(동별),,"2,073","2,050","2,039","2,129","2,369","2,364","2,405"
신도림동,합계,외국인주민 총괄(동별),,573,567,589,603,665,677,658
신도림동,외국인근로자,외국인주민 총괄(동별),,102,80,81,84,101,96,49
신도림동,결혼이민자,외국인주민 총괄(동별),,43,77,76,86,65,74,85
신도림동,유학생,외국인주민 총괄(동별),,12,11,10,12,14,14,23
신도림동,외국국적동포,외국인주민 총괄(동별),,131,111,124,115,111,133,131
신도림동,기타외국인,외국인주민 총괄(동별),,154,151,152,159,204,174,173
신도림동,한국국적을 취득한 자,외국인주민 총괄(동별),,47,57,68,70,77,80,86
신도림동,외국인주민 자녀(출생),외국인주민 총괄(동별),,84,80,78,77,93,106,111
구로1동,합계,외국인주민 총괄(동별),,239,224,226,270,344,346,354
구로1동,외국인근로자,외국인주민 총괄(동별),,20,12,***,13,22,16,9
구로1동,결혼이민자,외국인주민 총괄(동별),,28,37,43,44,57,65,59
구로1동,유학생,외국인주민 총괄(동별),,***,***,***,***,5,6,11
구로1동,외국국적동포,외국인주민 총괄(동별),,47,38,40,39,46,60,60
구로1동,기타외국인,외국인주민 총괄(동별),,39,51,44,66,92,60,82
구로1동,한국국적을 취득한 자,외국인주민 총괄(동별),,39,41,45,50,55,67,61
구로1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,65,44,49,55,67,72,72
구로3동,합계,외국인주민 총괄(동별),,"2,194","2,777","3,121","3,466","3,682","3,791","3,650"
구로3동,외국인근로자,외국인주민 총괄(동별),,553,662,630,759,698,617,484
구로3동,결혼이민자,외국인주민 총괄(동별),,153,198,210,202,241,196,199
구로3동,유학생,외국인주민 총괄(동별),,10,20,24,34,33,37,48
구로3동,외국국적동포,외국인주민 총괄(동별),,463,689,903,"1,032","1,092","1,230","1,245"
구로3동,기타외국인,외국인주민 총괄(동별),,516,696,776,817,942,985,898
구로3동,한국국적을 취득한 자,외국인주민 총괄(동별),,344,366,433,456,496,546,586
구로3동,외국인주민 자녀(출생),외국인주민 총괄(동별),,155,146,145,166,180,180,190
구로4동,합계,외국인주민 총괄(동별),,"7,934","7,852","7,931","8,829","8,837","8,918","8,677"
구로4동,외국인근로자,외국인주민 총괄(동별),,"2,628","2,353","1,999","2,587","2,458","2,034","1,520"
구로4동,결혼이민자,외국인주민 총괄(동별),,383,466,438,435,447,353,352
구로4동,유학생,외국인주민 총괄(동별),,25,25,31,26,28,28,38
구로4동,외국국적동포,외국인주민 총괄(동별),,"1,870","2,016","2,386","2,604","2,608","3,020","3,375"
구로4동,기타외국인,외국인주민 총괄(동별),,"1,802","1,794","1,890","2,004","2,071","2,175","2,051"
구로4동,한국국적을 취득한 자,외국인주민 총괄(동별),,"1,004",965,957,949,995,"1,071","1,101"
구로4동,외국인주민 자녀(출생),외국인주민 총괄(동별),,222,233,230,224,230,237,240
구로5동,합계,외국인주민 총괄(동별),,"5,528","5,693","5,780","6,003","6,017","5,885","5,639"
구로5동,외국인근로자,외국인주민 총괄(동별),,"1,826","1,656","1,375","1,616","1,580","1,235",889
구로5동,결혼이민자,외국인주민 총괄(동별),,248,334,319,295,310,271,243
구로5동,유학생,외국인주민 총괄(동별),,39,50,54,50,62,64,70
구로5동,외국국적동포,외국인주민 총괄(동별),,"1,292","1,420","1,702","1,687","1,638","1,915","2,086"
구로5동,기타외국인,외국인주민 총괄(동별),,"1,261","1,367","1,409","1,426","1,482","1,460","1,386"
구로5동,한국국적을 취득한 자,외국인주민 총괄(동별),,683,697,750,763,751,756,779
구로5동,외국인주민 자녀(출생),외국인주민 총괄(동별),,179,169,171,166,194,184,186
고척1동,합계,외국인주민 총괄(동별),,589,645,648,767,846,799,704
고척1동,외국인근로자,외국인주민 총괄(동별),,98,87,67,109,103,68,46
고척1동,결혼이민자,외국인주민 총괄(동별),,49,58,52,58,60,57,51
고척1동,유학생,외국인주민 총괄(동별),,73,81,102,100,117,113,82
고척1동,외국국적동포,외국인주민 총괄(동별),,93,101,116,123,114,149,157
고척1동,기타외국인,외국인주민 총괄(동별),,127,141,137,191,257,216,185
고척1동,한국국적을 취득한 자,외국인주민 총괄(동별),,78,94,104,109,115,121,114
고척1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,71,83,70,77,80,75,69
고척2동,합계,외국인주민 총괄(동별),,"1,010","1,053","1,239","1,351","1,398","1,354","1,306"
고척2동,외국인근로자,외국인주민 총괄(동별),,250,206,188,262,246,184,124
고척2동,결혼이민자,외국인주민 총괄(동별),,80,111,119,123,119,99,101
고척2동,유학생,외국인주민 총괄(동별),,7,8,5,7,9,9,9
고척2동,외국국적동포,외국인주민 총괄(동별),,206,244,322,364,388,429,443
고척2동,기타외국인,외국인주민 총괄(동별),,170,186,257,246,275,279,256
고척2동,한국국적을 취득한 자,외국인주민 총괄(동별),,174,196,221,217,221,225,240
고척2동,외국인주민 자녀(출생),외국인주민 총괄(동별),,123,102,127,132,140,129,133
개봉2동,합계,외국인주민 총괄(동별),,859,872,992,"1,103","1,111","1,123","1,093"
개봉2동,외국인근로자,외국인주민 총괄(동별),,135,113,110,145,136,112,74
개봉2동,결혼이민자,외국인주민 총괄(동별),,90,84,95,104,103,95,81
개봉2동,유학생,외국인주민 총괄(동별),,***,8,10,12,29,18,13
개봉2동,외국국적동포,외국인주민 총괄(동별),,142,165,209,230,219,274,288
개봉2동,기타외국인,외국인주민 총괄(동별),,178,189,225,245,273,270,276
개봉2동,한국국적을 취득한 자,외국인주민 총괄(동별),,189,212,225,245,230,231,245
개봉2동,외국인주민 자녀(출생),외국인주민 총괄(동별),,122,101,118,122,121,123,116
개봉3동,합계,외국인주민 총괄(동별),,693,712,802,935,984,979,943
개봉3동,외국인근로자,외국인주민 총괄(동별),,131,103,95,133,152,115,69
개봉3동,결혼이민자,외국인주민 총괄(동별),,81,84,81,85,93,91,77
개봉3동,유학생,외국인주민 총괄(동별),,17,12,19,27,18,13,10
개봉3동,외국국적동포,외국인주민 총괄(동별),,122,139,168,200,192,234,263
개봉3동,기타외국인,외국인주민 총괄(동별),,119,140,184,209,240,226,225
개봉3동,한국국적을 취득한 자,외국인주민 총괄(동별),,132,142,167,182,183,199,199
개봉3동,외국인주민 자녀(출생),외국인주민 총괄(동별),,91,92,88,99,106,101,100
오류1동,합계,외국인주민 총괄(동별),,"1,036","1,081","1,096","1,207","1,352","1,456","1,429"
오류1동,외국인근로자,외국인주민 총괄(동별),,246,225,164,199,201,185,167
오류1동,결혼이민자,외국인주민 총괄(동별),,82,98,103,117,123,124,116
오류1동,유학생,외국인주민 총괄(동별),,7,5,8,12,12,19,35
오류1동,외국국적동포,외국인주민 총괄(동별),,230,252,306,336,391,450,441
오류1동,기타외국인,외국인주민 총괄(동별),,219,229,249,251,302,321,296
오류1동,한국국적을 취득한 자,외국인주민 총괄(동별),,157,167,167,189,211,245,261
오류1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,95,105,99,103,112,112,113
오류2동,합계,외국인주민 총괄(동별),,"1,522","1,497","1,694","1,760","2,146",,
오류2동,외국인근로자,외국인주민 총괄(동별),,248,205,196,225,214,,
오류2동,결혼이민자,외국인주민 총괄(동별),,145,178,174,169,226,,
오류2동,유학생,외국인주민 총괄(동별),,35,32,32,28,24,,
오류2동,외국국적동포,외국인주민 총괄(동별),,261,258,356,377,415,,
오류2동,기타외국인,외국인주민 총괄(동별),,259,259,340,330,397,,
오류2동,한국국적을 취득한 자,외국인주민 총괄(동별),,315,320,353,375,501,,
오류2동,외국인주민 자녀(출생),외국인주민 총괄(동별),,259,245,243,256,369,,
수궁동,합계,외국인주민 총괄(동별),,536,621,709,724,858,838,812
수궁동,외국인근로자,외국인주민 총괄(동별),,111,125,113,109,115,83,71
수궁동,결혼이민자,외국인주민 총괄(동별),,60,65,74,63,72,69,75
수궁동,유학생,외국인주민 총괄(동별),,***,5,5,6,13,8,*
수궁동,외국국적동포,외국인주민 총괄(동별),,83,98,137,160,211,222,202
수궁동,기타외국인,외국인주민 총괄(동별),,98,120,157,161,187,190,169
수궁동,한국국적을 취득한 자,외국인주민 총괄(동별),,94,119,128,135,155,171,186
수궁동,외국인주민 자녀(출생),외국인주민 총괄(동별),,88,89,95,90,105,95,105
가리봉동,합계,외국인주민 총괄(동별),,"9,966","9,505","9,045","9,305","8,770","8,515","7,833"
가리봉동,외국인근로자,외국인주민 총괄(동별),,"4,963","4,122","3,169","3,704","3,404","2,925","2,166"
가리봉동,결혼이민자,외국인주민 총괄(동별),,292,416,402,388,370,267,265
가리봉동,유학생,외국인주민 총괄(동별),,17,20,23,18,26,32,27
가리봉동,외국국적동포,외국인주민 총괄(동별),,"2,388","2,556","2,850","2,837","2,584","2,878","3,135"
가리봉동,기타외국인,외국인주민 총괄(동별),,"1,579","1,691","1,910","1,667","1,727","1,748","1,584"
가리봉동,한국국적을 취득한 자,외국인주민 총괄(동별),,621,587,599,596,576,583,574
